id;name;address;zip;city_hotel;cc1;ufi;class;currencycode;minrate;maxrate;preferred;nr_rooms;public_ranking;hotel_url;city_unique;city_preferred;review_score;review_nr;;;;;;;;;;;;;;;;;
2034107;Holiday home Orsiere 21;;73440;Val Thorens;fr;900040030;0;EUR;87;;;1;1;http://www.mishoteles.com/hotel/fr/holiday-home-orsiere-21.html;val-thorens;Val Thorens;1;1;;;;;;;;;;;;;;;;;
1995441;Appartamento Follia;Via San Pietro, 17;74024;Adria;it;-109960;0;EUR;52;;;1;1;http://www.mishoteles.com/hotel/it/appartamento-follia.html;adria;Adria;1;1;;;;;;;;;;;;;;;;;
1963674;Desusino;Contrada Desusino;93011;Butera;it;-120136;0;EUR;51;;;1;1;http://www.mishoteles.com/hotel/it/desusino.html;licata;Licata;1;1;;;;;;;;;;;;;;;;;
2008515;El Mocan Second;6 Avenida el Palm-Mar;38632;Palm-mar;es;900052318;0;EUR;72.8;;;1;1;http://www.mishoteles.com/hotel/es/el-mocan-second.html;el-palmar-es-2;Palm-mar;1;1;;;;;;;;;;;;;;;;;
1941197;Rue des Douves;Verteuil Sur Charente 2 Rue des Douves;16510;Verteuil-sur-Charente;fr;-1475865;0;EUR;80;;;1;1;http://www.mishoteles.com/hotel/fr/rue-des-douves.html;verteuil-sur-charente;Verteuil-sur-Charente;1;1;;;;;;;;;;;;;;;;;
2026886;Apartment Offenhäuser;Hauptstr. 115;69251;Gaiberg;de;-1773356;0;EUR;42;;;1;1;http://www.mishoteles.com/hotel/de/apartment-offenhauser.html;gaiberg;Gaiberg;1;1;;;;;;;;;;;;;;;;;
1944966;Apartament w Dawnej Szkole;Jeleńcz 12;77-124;Parchowo;pl;-521026;0;PLN;370;;;1;1;http://www.mishoteles.com/hotel/pl/apartament-w-dawnej-szkole.html;parchowo;Parchowo;1;1;;;;;;;;;;;;;;;;;
1949584;Lingotto Residence;Via Spotorno 29 bis;10126;Turin;it;-130938;0;EUR;75;;;9;1;http://www.mishoteles.com/hotel/it/lingotto-residence.html;torino;Turin;1;1;;;;;;;;;;;;;;;;;
1945754;Apartments on Deputatskaya 6;ул. Депутатская, д. 6, кв. 14;150000;Yaroslavl;ru;-3039267;0;RUB;4300;;;1;1;http://www.mishoteles.com/hotel/ru/apartments-on-deputatskaya-6.html;yaroslavl;Yaroslavl;1;1;;;;;;;;;;;;;;;;;
1944611;Il Vecchio Fienile;c/da scalette;87026;Mormanno;it;-122683;0;EUR;30;;;2;1;http://www.mishoteles.com/hotel/it/il-vecchio-fienile-mormanno.html;mormanno;Mormanno;1;1;;;;;;;;;;;;;;;;;
2037013;Apartamento Chamartin;15 Calle Nieremberg bajo d;28002;Madrid;es;-390625;0;EUR;190;;;1;1;http://www.mishoteles.com/hotel/es/apartamento-chamartin.html;madrid;Madrid;1;1;;;;;;;;;;;;;;;;;
1976290;Holiday Home Studevej;;7600;Struer;dk;-2749198;0;DKK;;;;1;1;http://www.mishoteles.com/hotel/dk/holiday-home-studevej.html;remmer-strand;Remmer Strand;1;1;;;;;;;;;;;;;;;;;
1975321;Holiday Home Klokkerholm;;8420;Knebel;dk;-2745414;0;DKK;674;;;1;1;http://www.mishoteles.com/hotel/dk/holiday-home-klokkerholm.html;knebel;Knebel;1;1;;;;;;;;;;;;;;;;;
1955024;Villa Mediterranea - Rooftop Suite;Medjine;20207;Mlini;hr;-89373;3;EUR;50;;;1;1;http://www.mishoteles.com/hotel/hr/villa-mediterranea-rooftop-suite.html;mlini;Mlini;1;1;;;;;;;;;;;;;;;;;
1931416;Apartments Orka 2;46 Ulica Obala;21320;Promajna;hr;-93344;3;EUR;;;;2;1;http://www.mishoteles.com/hotel/hr/apartments-orka-2.html;promajna;Promajna;1;1;;;;;;;;;;;;;;;;;
2015066;Luxury Design Studio;Oudevaartplaats;2000;Antwerp;be;-1953257;0;EUR;63.6;;;1;1;http://www.mishoteles.com/hotel/be/luxury-design-studio.html;antwerpen;Antwerpen;1;1;;;;;;;;;;;;;;;;;
1986509;Alojamento Local de Aljazede;Aljazede;3240-155;Ateanha;pt;-2158935;0;EUR;49;;;1;1;http://www.mishoteles.com/hotel/pt/alojamento-local-de-aljazede.html;ateanha;Ateanha;1;1;;;;;;;;;;;;;;;;;
2006029;Villa Anna Vittoria On The Sea;Via Caserma Di Finanza;92010;Realmonte;it;-126166;0;EUR;59;;;1;1;http://www.mishoteles.com/hotel/it/villa-anna-vittoria-on-the-sea.html;realmonte;Realmonte;1;1;;;;;;;;;;;;;;;;;
2034167;Holiday home Maison Du Roc;;12200;Villefranche Du Rouergue;fr;-1476737;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/fr/holiday-home-maison-du-roc.html;villefranche-de-rouergue;Villefranche-de-Rouergue;1;1;;;;;;;;;;;;;;;;;
1970380;Chez George;Aristoteloys 121 Kounoupidiana Chania;73100;Kounoupidhianá;gr;-821490;0;EUR;50;;;1;1;http://www.mishoteles.com/hotel/gr/chez-george.html;kounoupidhiana;Kounoupidhianá;1;1;;;;;;;;;;;;;;;;;
